"Url_suurEelnou"	"Url_koosolekuProtokoll"	"Id_custom"	"Tyyp_custom"	"Asutuse_nimetus"	"Organi_nimetus"	"Reg_nr"	"Sarja_indeks"	"Teema"	"Kuupaev"	"Kellaaeg"	"Toimumise_koht"	"Juhataja"	"Protokollija"	"Koosolekul_osalesid"	"Puudusid"	"Kutsutud"	"Seisund"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6CF8DA994C527827C225804C001B588B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GB3974CAFFD5F7411C22580420026C2FF?OpenDocument"	"1"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnamajanduskomisjon"	"37"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnamajanduskomisjoni koosolek"	"05.10.2016"	"15:00 - 17:00"	"Tartu, raekoda"	"Kadri Leetmaa"	"Aune Rumm"	"Nikolai Põdramägi, Ants Kask, Aleksandr Litvinenko, Raimond Tamm, Kadri Leetmaa, Martin Bek, Peeter Järve, Riina Kallas, Toomas Kapp, Argo Annuk; elektrooniliselt Karl Kull, Jaan Sõrra, Auli Solo"	"Verni Loodmaa"	"abilinnapea Valvo Semilarski, linnamajanduse osakonna juhataja Rein Haak, linnamajanduse osakonna projektijuht Jaanus Tamm"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6CF8DA994C527827C225804C001B588B?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument"	"1"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"07.10.2016"	"09:00 - 10:00"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Mihkel Lees, Jüri Kõre, Taavi Toomere, Igor Abarenkov, Priit Tannik, elektrooniliselt Jaak Nigul"	"Peeter Laurson, Oleg Bulkin, Heljo Pikhof, Aivar Riisalu"	"abilinnapead  Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6248AFE05209A9E6C225804C001B4F00?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G56145C4D0D944BB0C22580440023C50C?OpenDocument"	"2"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Sotsiaalkomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Sotsiaalkomisjoni koosolek"	"06.10.2016"	"16:00 - 17:00"	"Tartu, raekoda"	"Toomas Tein"	"Ülle Saar"	"Toomas Tein, Nikolai Põdramägi, Piret Tarto, Lii Laanoja, Avo Rosenvald, Joel Luhamets, Harri Jallajas, Tiia Mürk, Nadežda Aleksandrova, elektrooniliselt Tiina Talvik, Senta-Ellinor Michelson, Oleg Nesterenko, Hele Everaus, Jüri Kõre"	"Roman Mugur"	"abilinnapea Artjom Suvorov, sotsiaal- ja tervishoiuosakonna juhataja asetäitja Tiina Kruuse, MTÜ Tartu Maarja Tugikeskuse juhataja Helle Känd, SA Vaimse Tervise Hooldekeskuse juhataja Indrek Sooniste"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G6248AFE05209A9E6C225804C001B4F00?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument"	"2"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"07.10.2016"	"09:00 - 10:00"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Mihkel Lees, Jüri Kõre, Taavi Toomere, Igor Abarenkov, Priit Tannik, elektrooniliselt Jaak Nigul"	"Peeter Laurson, Oleg Bulkin, Heljo Pikhof, Aivar Riisalu"	"abilinnapead  Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA8996F3BB1FE5FB5C225804C001B1948?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G56145C4D0D944BB0C22580440023C50C?OpenDocument"	"3"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Sotsiaalkomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Sotsiaalkomisjoni koosolek"	"06.10.2016"	"16:00 - 17:00"	"Tartu, raekoda"	"Toomas Tein"	"Ülle Saar"	"Toomas Tein, Nikolai Põdramägi, Piret Tarto, Lii Laanoja, Avo Rosenvald, Joel Luhamets, Harri Jallajas, Tiia Mürk, Nadežda Aleksandrova, elektrooniliselt Tiina Talvik, Senta-Ellinor Michelson, Oleg Nesterenko, Hele Everaus, Jüri Kõre"	"Roman Mugur"	"abilinnapea Artjom Suvorov, sotsiaal- ja tervishoiuosakonna juhataja asetäitja Tiina Kruuse, MTÜ Tartu Maarja Tugikeskuse juhataja Helle Känd, SA Vaimse Tervise Hooldekeskuse juhataja Indrek Sooniste"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA8996F3BB1FE5FB5C225804C001B1948?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument"	"3"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"07.10.2016"	"09:00 - 10:00"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Mihkel Lees, Jüri Kõre, Taavi Toomere, Igor Abarenkov, Priit Tannik, elektrooniliselt Jaak Nigul"	"Peeter Laurson, Oleg Bulkin, Heljo Pikhof, Aivar Riisalu"	"abilinnapead  Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEA4D16045FAA5593C225804C001AE52E?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G59BF3085BCB3E328C2258042002970E2?OpenDocument"	"4"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Kultuurikomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Kultuurikomisjoni e-koosolek"	"06.10.2016"	"00:00"	"Elektrooniline koosolek (seisukoha saatmise tähtaeg 06.10.2016 kell 15:00"	"Nikolai Põdramägi"	"Aune Rumm"	"Nikolai Põdramägi, Joel Luhamets, Mati Tolmoff, Lemmit Kaplinski, Evert Rööpson, Martin Parmas, Gea Kangilaski, Jaan Vaiksaar, Igor Rosenfeld"	"Natalja Trošina, Tarmo Kikerpill, Merle Jääger, Ragnar Kekkonen, Rein Kilk, Priit Tannik"	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEA4D16045FAA5593C225804C001AE52E?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GD06F309DBE807323C22580420029353D?OpenDocument"	"4"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"31"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni e-koosolek"	"06.10.2016"	"00:00"	"Elektrooniline koosolek (seisukoha saatmise tähtaeg 06.10.2016 kl 17:00)"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Ilme-Tiiu Tinni, Harri Jallajas, Olev Raju, Jüri Kõre, Roman Mugur, Karl Kull, Tõnis Lukas, Triin Anette Kaasik, Mati Tolmoff, Lembit Kalev, Riina Kallas, Arno Arukask, Kalle Pilt, Alo Pettai"	""	""	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GEA4D16045FAA5593C225804C001AE52E?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G5FD16FF0342469CEC225804400233F66?OpenDocument"	"4"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"34"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"07.10.2016"	"09:00 - 10:00"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Mihkel Lees, Jüri Kõre, Taavi Toomere, Igor Abarenkov, Priit Tannik, elektrooniliselt Jaak Nigul"	"Peeter Laurson, Oleg Bulkin, Heljo Pikhof, Aivar Riisalu"	"abilinnapead  Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GE32A55B65A354A18C2258030001A2AD8?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"5"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GA392DA983EAD85BDC2258030001A22AD?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"6"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9FC78F703F4A1BF0C2258030001A1A68?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"7"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G9FC78F703F4A1BF0C2258030001A1A68?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument"	"7"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"09.09.2016"	"09:00 - 10:40"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Peeter Laurson, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Oleg Bulkin, Heljo Pikhof, elektrooniliselt Mihkel Lees, Jüri Kõre, Taavi Toomere"	"Igor Abarenkov, Jaak Nigul, Priit Tannik, Aivar Riisalu"	"abilinnapead Jarno Laur, Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja Kunnar Jürgenson ja juhataja asetäitja Mait Raig"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDA868A70304F8116C2258030001A11A5?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"8"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/GDA868A70304F8116C2258030001A11A5?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument"	"8"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"09.09.2016"	"09:00 - 10:40"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Peeter Laurson, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Oleg Bulkin, Heljo Pikhof, elektrooniliselt Mihkel Lees, Jüri Kõre, Taavi Toomere"	"Igor Abarenkov, Jaak Nigul, Priit Tannik, Aivar Riisalu"	"abilinnapead Jarno Laur, Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja Kunnar Jürgenson ja juhataja asetäitja Mait Raig"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4846BA4A54C437F1C2258030001A086F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G70BEA88622DB6D70C2258028002A2A25?OpenDocument"	"9"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Linnavarakomisjon"	"30"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Linnavarakomisjoni koosolek"	"08.09.2016"	"17:00 - 17:50"	"Tartu, raekoda"	"Olev Raju"	"Aune Rumm"	"Väino Peebo, Mati Tolmoff, Riina Kallas, Olev Raju, Jüri Kõre, Arno Arukask, Ilme-Tiiu Tinni, Harri Jallajas, Lembit Kalev; elektrooniliselt Roman Mugur, Kalle Pilt, Alo Pettai"	"Karl Kull, Triin Anette Kaasik, Tõnis Lukas"	"abilinnapea Jarno Laur, abilinnapea Jaan Õunapuu, linnavarade osakonna juhataja Kunnar Jürgenson"	"Allkirjastatud"
"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G4846BA4A54C437F1C2258030001A086F?OpenDocument"	"http://info.raad.tartu.ee/webaktid.nsf/web/gpunid/G86B799EF347EC78FC22580290035B242?OpenDocument"	"9"	"Koosoleku protokoll"	"Tartu Linnavolikogu"	"Rahanduskomisjon"	"33"	"1-3 Linnavolikogu alatiste komisjonide protokollid"	"Rahanduskomisjoni koosolek"	"09.09.2016"	"09:00 - 10:40"	"Tartu, raekoda"	"Veljo Ipits"	"Ülle Saar"	"Veljo Ipits, Väino Kull, Olev Raju, Peeter Laurson, Tõnu Ints, Marvi Kibe, Mihkel Liiber, Oleg Bulkin, Heljo Pikhof, elektrooniliselt Mihkel Lees, Jüri Kõre, Taavi Toomere"	"Igor Abarenkov, Jaak Nigul, Priit Tannik, Aivar Riisalu"	"abilinnapead Jarno Laur, Jaan Õunapuu, Artjom Suvorov ja Valvo Semilarski, rahandusosakonna juhataja Külli Lust, linnavarade osakonna juhataja Kunnar Jürgenson ja juhataja asetäitja Mait Raig"	"Allkirjastatud"
